Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
4708,montgomery,montgomery,5.52,12.329
6355,month,month,5.18,13.354
5220,monthly,monthly,5.42,9.055
6436,months,months,5.16,8.657
3325,montreal,montreal,5.82,12.567
3085,mood,mood,5.88,16.368
7718,moody's,moody's,4.88,11.364
334,moon,moon,7.28,13.708
187,moonlight,moonlight,7.5,1.359
5118,moore,moore,5.44,15.928
1229,moral,moral,6.54,18.649
3494,morality,morality,5.78,1.799
1916,more,more,6.24,9.596
6253,moreover,moreover,5.2,9.689
6066,morgan,morgan,5.24,12.867
6813,morgen,morgen,5.08,8.999
8779,morir,morir,4.4,14.142
8821,morn,morn,4.36,16.258
5026,mornin,mornin,5.46,16.807
1192,morning,morning,6.56,1.95
1706,mornings,mornings,6.32,22.264
6814,morris,morris,5.08,12.752
8894,mortal,mortal,4.29,2.031
8796,mortality,mortality,4.38,25.546
9251,mortgage,mortgage,3.88,19.445
5884,morton,morton,5.28,9.485
6902,moscow,moscow,5.06,14.201
3956,moses,moses,5.67,15.328
1984,most,most,6.22,15.556
3401,mostly,mostly,5.8,11.606
107,mother,mother,7.68,16.714
6714,mother-in-law,mother-in-law,5.1,20.329
114,mother's,mother's,7.66,12.875
10168,motherfucker,motherfucker,2.02,16.597
10049,motherfuckers,motherfuckers,2.51,24.675
10015,motherfuckin,motherfuckin,2.58,23.043
9984,motherfucking,motherfucking,2.64,24.558
269,mothers,mothers,7.36,14.675
3579,motion,motion,5.76,14.078
1027,motivation,motivation,6.66,14.514
5543,motive,motive,5.35,14.938
6026,motives,motives,5.24,1.451
4923,motor,motor,5.48,11.822
6157,motors,motors,5.22,14.184
7411,mou,mou,4.96,12.903
4618,mount,mount,5.54,12.651
1505,mountain,mountain,6.4,17.143
633,mountains,mountains,6.96,11.945
4512,mounted,mounted,5.56,13.273
9949,mourn,mourn,2.72,18.848
9918,mourners,mourners,2.82,15.996
9886,mourns,mourns,2.86,19.379
5487,mouse,mouse,5.36,19.563
3402,mouth,mouth,5.8,11.952
4300,mouths,mouths,5.6,12.936
3737,move,move,5.72,13.559
6903,moved,moved,5.06,12.357
2871,movement,movement,5.94,9.348
3353,movements,movements,5.82,10.738
3925,moves,moves,5.68,957
764,movie,movie,6.84,19.832
280,movies,movies,7.34,14.514
3526,movin,movin,5.78,12.791
5488,moving,moving,5.36,1.495
1613,mp3,mp3,6.36,15.086
5777,mph,mph,5.3,12.817
5986,mr,mr,5.26,11.395
3086,mrs,mrs,5.88,1.409
8683,ms,ms,4.48,1.555
7464,msg,msg,4.94,16.953
5489,msn,msn,5.36,17.468
6356,mt,mt,5.18,9.833
4123,mtv,mtv,5.64,17.585
6528,mu,mu,5.14,12.618
3658,much,much,5.74,13.219
2641,mucho,mucho,6,12.617
8078,mud,mud,4.78,17.761
8780,muero,muero,4.4,14.142
863,muffin,muffin,6.76,12.382
8197,muito,muito,4.74,9.216
6904,mujer,mujer,5.06,13.157
3832,multiple,multiple,5.7,14.604
961,mum,mum,6.7,17.525
4410,mumbai,mumbai,5.58,17.272
5987,mundo,mundo,5.26,9.216
7940,municipal,municipal,4.82,9.833
9074,murda,murda,4.1,16.863
10217,murder,murder,1.48,1.015
10201,murdered,murdered,1.8,16.288
5778,murphy,murphy,5.3,8.864
6437,murray,murray,5.16,11.669
2446,muscle,muscle,6.06,13.311
1175,muscles,muscles,6.56,14.053
992,museum,museum,6.68,1.463
839,museums,museums,6.78,17.177
22,music,music,8.02,11.156
392,musical,musical,7.22,15.556
610,musician,musician,6.98,1.237
349,musicians,musicians,7.26,10.461
8436,muslim,muslim,4.64,16.995
8881,muslims,muslims,4.3,13.887
8639,muss,muss,4.52,10.736
7941,must,must,4.82,14.384
8973,mutha,mutha,4.22,15.292
9588,muthafucka,muthafucka,3.4,21.946
9817,muthafuckin,muthafuckin,3,23.094
2213,mutual,mutual,6.14,11.068
6357,muy,muy,5.18,8.965
2159,my,my,6.16,12.835
6999,myers,myers,5.04,13.696
1763,myself,myself,6.3,1.669
8198,myspace,myspace,4.74,18.049
4619,mysterious,mysterious,5.54,16.686
4124,mystery,mystery,5.64,1.849
3053,myth,myth,5.9,14.178
