Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
2470,solving,solving,6.04,17.377
7310,som,som,4.98,6.543
7133,some,some,5.02,10.398
7217,some1,some1,5,9.897
5805,somebody,somebody,5.3,11.294
5901,someday,someday,5.28,14.434
6546,somehow,somehow,5.14,926
5806,someone,someone,5.3,1.165
5695,someone's,someone's,5.32,12.848
7311,somethin,somethin,4.98,14.776
7218,something,something,5,8.571
7654,sometime,sometime,4.9,10.351
5902,sometimes,sometimes,5.28,9.485
8142,somewhat,somewhat,4.76,13.334
5903,somewhere,somewhere,5.28,8.581
7019,somos,somos,5.04,11.058
476,son,son,7.12,18.142
4044,son-in-law,son-in-law,5.66,15.598
151,song,song,7.58,13.415
643,songs,songs,6.96,18.731
3848,sonic,sonic,5.7,12.976
7675,sono,sono,4.9,11.769
847,sons,sons,6.78,16.199
6735,sont,sont,5.1,9.742
2224,sony,sony,6.14,13.554
7655,soo,soo,4.9,1.165
1669,soon,soon,6.34,8.947
1929,sooner,sooner,6.24,13.933
8088,sooo,sooo,4.78,15.022
6547,soooo,soooo,5.14,9.478
7803,sooooo,sooooo,4.86,1.05
7312,soooooo,soooooo,4.98,14.497
2578,sophisticated,sophisticated,6.02,17.553
9843,sore,sore,2.94,13.311
9477,sorely,sorely,3.56,12.803
10141,sorrow,sorrow,2.12,15.602
9958,sorrows,sorrows,2.69,17.819
9406,sorry,sorry,3.66,17.567
5904,sort,sort,5.28,834
6087,sorts,sorts,5.24,9.381
9305,sos,sos,3.82,17.343
7134,sou,sou,5.02,12.036
6920,sought,sought,5.06,13.001
1670,soul,soul,6.34,16.734
2754,souls,souls,5.98,1.713
3180,sound,sound,5.86,12.779
5510,sounded,sounded,5.36,10.451
2737,sounds,sounds,5.98,12.036
1671,soundtrack,soundtrack,6.34,17.096
1278,soup,soup,6.52,16.689
9118,sour,sour,4.06,15.039
3756,source,source,5.72,12.129
4644,sources,sources,5.54,12.324
2170,south,south,6.16,16.081
3945,southeast,southeast,5.68,12.196
4145,southern,southern,5.64,16.258
3340,southwest,southwest,5.82,15.868
3102,sovereign,sovereign,5.88,13.801
3114,sovereignty,sovereignty,5.88,17.516
8442,soviet,soviet,4.64,13.365
4448,sow,sow,5.57,16.202
6381,sox,sox,5.18,15.345
4146,soy,soy,5.64,15.086
7734,sp,sp,4.88,6.893
678,spa,spa,6.92,14.824
2811,space,space,5.96,10.093
4174,spaces,spaces,5.62,10.237
2048,spain,spain,6.2,16.903
