Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
1159,preferred,preferred,6.58,9.495
2568,pregnancy,pregnancy,6.02,22.451
1990,pregnant,pregnant,6.22,20.829
9768,prejudice,prejudice,3.08,17.893
5997,preliminary,preliminary,5.26,11.031
2041,premier,premier,6.2,10.498
1235,premiere,premiere,6.54,15.147
2165,premium,premium,6.16,14.479
4822,prep,prep,5.5,1.359
2453,preparation,preparation,6.06,13.614
2880,preparations,preparations,5.94,14.057
4025,prepare,prepare,5.66,14.792
900,prepared,prepared,6.74,10.654
3584,preparing,preparing,5.76,14.078
7302,pres,pres,4.98,10.971
7006,presbyterian,presbyterian,5.04,14.841
5827,prescribed,prescribed,5.29,16.237
2569,presence,presence,6.02,10.593
638,present,present,6.96,12.771
5231,presentation,presentation,5.42,15.791
3667,presented,presented,5.74,9.858
2796,presently,presently,5.96,1.261
414,presents,presents,7.2,14.569
1195,preservation,preservation,6.56,1.248
1559,preserve,preserve,6.38,14.968
2287,preserved,preserved,6.1,1.403
4522,presidency,presidency,5.56,17.861
3171,president,president,5.86,21.094
5788,president's,president's,5.3,15.152
2881,presidential,presidential,5.94,15.174
4132,presidents,presidents,5.64,15.748
5498,press,press,5.36,12.249
8476,pressed,pressed,4.62,13.076
9404,pressure,pressure,3.66,15.467
9520,pressures,pressures,3.49,17.574
5684,presumably,presumably,5.32,11.507
8508,pretax,pretax,4.6,14.569
8439,pretend,pretend,4.64,12.739
7601,pretending,pretending,4.92,15.657
295,pretty,pretty,7.32,16.956
797,prevail,prevail,6.82,17.281
6446,prevent,prevent,5.16,17.998
3838,prevented,prevented,5.7,16.194
2509,prevention,prevention,6.04,12.282
3585,preview,preview,5.76,10.214
7722,previous,previous,4.88,8.485
8641,previously,previously,4.52,13.285
9015,prey,prey,4.18,19.968
7205,price,price,5,13.997
7206,priced,priced,5,12.617
8798,prices,prices,4.38,16.022
1236,pride,pride,6.54,17.404
4309,priest,priest,5.6,17.023
4757,priests,priests,5.51,20.117
5232,primarily,primarily,5.42,9.495
3093,primary,primary,5.88,11.183
1381,prime,prime,6.46,12.811
6911,primitive,primitive,5.06,1.544
1419,prince,prince,6.44,13.426
1420,princes,princes,6.44,15.928
521,princess,princess,7.08,15.758
3668,princeton,princeton,5.74,15.884
5499,principal,principal,5.36,13.962
2650,principle,principle,6,14.846
2217,principles,principles,6.14,13.999
5998,print,print,5.26,1.209
3094,printed,printed,5.88,9.613
4226,printer,printer,5.62,12.599
3530,printing,printing,5.77,13.565
7723,prior,prior,4.88,11.542
4026,priority,priority,5.66,1.423
10159,prison,prison,2.06,14.765
9887,prisoner,prisoner,2.86,18.518
10074,prisoners,prisoners,2.44,14.591
3095,privacy,privacy,5.88,21.537
2946,private,private,5.92,13.529
3586,privately,privately,5.76,1.546
998,privilege,privilege,6.68,16.468
1206,privileges,privileges,6.55,17.207
134,prize,prize,7.62,12.103
415,prizes,prizes,7.2,20.304
3096,pro,pro,5.88,13.192
8663,prob,prob,4.5,11.112
3587,probability,probability,5.76,12.545
2749,probable,probable,5.98,13.306
4133,probably,probably,5.64,12.415
9827,problem,problem,2.98,14.068
9857,problems,problems,2.92,15.628
7872,proc,proc,4.84,10.174
7476,procedure,procedure,4.94,12.521
7118,procedures,procedures,5.02,13.013
999,proceed,proceed,6.68,12.526
2265,proceeded,proceeded,6.12,13.346
2266,proceeding,proceeding,6.12,13.944
8018,proceedings,proceedings,4.8,13.553
1920,proceeds,proceeds,6.24,11.168
5032,process,process,5.46,11.104
5330,processes,processes,5.4,14.846
2907,processing,processing,5.94,14.055
1861,produce,produce,6.26,11.214
1767,produced,produced,6.3,11.995
3097,producer,producer,5.88,13.649
3588,producers,producers,5.76,12.048
1945,produces,produces,6.22,13.427
3253,producing,producing,5.84,13.303
4523,product,product,5.56,11.095
2570,production,production,6.02,12.036
3172,productions,productions,5.86,12.291
963,productive,productive,6.7,11.294
565,productivity,productivity,7.02,13.148
3589,products,products,5.76,7.709
2267,profession,profession,6.12,11.183
1421,professional,professional,6.44,11.634
1812,professionals,professionals,6.28,14.003
2510,professor,professor,6.04,14.563
5789,profile,profile,5.3,1.233
115,profit,profit,7.66,1.239
197,profits,profits,7.48,13.285
2105,profound,profound,6.18,15.477
3935,program,program,5.68,12.196
3281,programme,programme,5.84,14.046
3254,programming,programming,5.84,15.167
2571,programs,programs,6.02,16.349
351,progress,progress,7.26,11.572
1196,progressive,progressive,6.56,13.273
3669,project,project,5.74,16.011
5409,projected,projected,5.38,12.919
5033,projects,projects,5.46,15.935
8618,prolly,prolly,4.54,11.988
6447,prolonged,prolonged,5.16,15.826
2882,prom,prom,5.94,13.763
1862,prominent,prominent,6.26,11.031
430,promise,promise,7.18,11.899
1000,promised,promised,6.68,10.774
1863,promises,promises,6.26,15.493
1052,promising,promising,6.64,11.205
4524,promo,promo,5.56,14.165
676,promote,promote,6.92,1.066
372,promoted,promoted,7.24,14.923
89,promotion,promotion,7.74,13.822
4630,prompted,prompted,5.54,10.343
4310,pronounced,pronounced,5.6,13.702
5500,pronto,pronto,5.36,12.415
2797,proof,proof,5.96,10.683
2883,proper,proper,5.94,13.911
1991,properly,properly,6.22,10.554
4631,properties,properties,5.54,12.969
3173,property,property,5.86,15.651
3255,prophet,prophet,5.84,19.205
4227,proportion,proportion,5.62,9.666
4228,proportions,proportions,5.62,1.028
1121,proposal,proposal,6.6,17.613
2042,proposals,proposals,6.2,16.903
1921,proposed,proposed,6.24,16.971
5164,proposition,proposition,5.43,14.577
3201,props,props,5.85,14.141
2731,prose,prose,5.98,1.505
9920,prosecution,prosecution,2.82,15.077
9117,prosecutor,prosecutor,4.06,16.587
8996,prosecutors,prosecutors,4.2,15.908
1382,prospect,prospect,6.46,15.012
2511,prospective,prospective,6.04,12.115
2512,prospects,prospects,6.04,10.683
314,prosperity,prosperity,7.3,15.286
815,protect,protect,6.8,14.142
1122,protected,protected,6.6,1.178
1768,protecting,protecting,6.3,16.067
1197,protection,protection,6.56,13.273
2043,protein,protein,6.2,13.093
1876,proteins,proteins,6.25,1.28
9474,protest,protest,3.56,14.591
6722,protestant,protestant,5.1,17.642
9318,protesters,protesters,3.8,16.903
8940,protests,protests,4.24,16.358
296,proud,proud,7.32,14.348
3670,prove,prove,5.74,10.461
1864,proved,proved,6.26,19.358
1511,provide,provide,6.4,1.088
2106,provided,provided,6.18,11.899
2044,providence,providence,6.2,17.496
1922,provides,provides,6.24,14.647
2166,providing,providing,6.16,12.014
5410,province,province,5.38,14.831
3443,provinces,provinces,5.8,13.382
6758,provincial,provincial,5.08,13.668
4134,provision,provision,5.64,13.056
3256,provisions,provisions,5.84,15.566
5999,prudential,prudential,5.26,13.969
7007,ps,ps,5.04,9.681
3590,ps3,ps3,5.76,13.024
7947,pst,pst,4.82,14.097
8941,psychiatric,psychiatric,4.24,13.334
10051,psycho,psycho,2.5,14.743
6165,psychological,psychological,5.22,18.983
3412,psychology,psychology,5.8,13.401
7567,pt,pt,4.92,8.291
2572,pub,pub,6.02,16.962
6368,public,public,5.18,13.656
3591,publication,publication,5.76,12.867
3745,publications,publications,5.72,16.293
3936,publicity,publicity,5.68,13.768
6076,publicly,publicly,5.24,12.707
1712,published,published,6.32,13.161
3333,publisher,publisher,5.82,10.821
3937,publishers,publishers,5.68,12.196
2947,publishing,publishing,5.92,11.753
6861,puede,puede,5.06,14.201
7893,puedes,puedes,4.84,1.264
7047,puedo,puedo,5.02,11.813
6535,puerto,puerto,5.14,15.254
8271,pues,pues,4.71,15.811
3257,puff,puff,5.84,14.758
8203,pull,pull,4.74,11.747
